Stratasense ver.:,1.04
add:, 1
secs:,1402985810
total sweeps:,66
tx fails:,15
dip switch state:,0
is charging:,0
cof:,65517
vof:,2
ibat:,-0.071055
vbat:,2.510449
board temp:,18.964844
Panel V:,18.95
Panel I:,0.000
adc low:,15
adc high:,48
